name,code,type,barcode,pack_label,units_per_strip,description,chemical_composition,general_recommendation,where_to_use
Deriphyllin 2 Ml,N400706,Injection,,,1,"This product is primarily indicated for asthma/copd utilizing Etofylline + Theophylline, but should not be used in patients with known hypersensitivity.",Etofylline + Theophylline,,Asthma/COPD
Hepamerz,M26023,Injection,,,1,"This product is primarily indicated for liver disease utilizing L-Ornithine L-Aspartate, but should not be used in patients with known hypersensitivity.",L-Ornithine L-Aspartate,,Liver disease
Zostum-1.5G,Z01BF25086,Injection,,,1,"This product is primarily indicated for bacterial infections utilizing Cefoperazone + Sulbactam, but should not be used in patients with known hypersensitivity.",Cefoperazone + Sulbactam,,Bacterial infections
Amikacin 500Mg,BLJ250379,Injection,,,1,"This product is primarily indicated for bacterial infections utilizing Amikacin, but should not be used in patients with known hypersensitivity.",Amikacin,,Bacterial infections
Cortiflav 100Mg[Hydrocortisone],A24DP092,Injection,,,1,"This product is primarily indicated for severe allergies/inflammation utilizing Hydrocortisone, but should not be used in patients with known hypersensitivity.",Hydrocortisone,,Severe allergies/Inflammation
Deca-Durabolin 25Mg,GA0518A,Injection,,,1,"This product is primarily indicated for osteoporosis/anemia utilizing Nandrolone Decanoate, but should not be used in patients with known hypersensitivity.",Nandrolone Decanoate,,Osteoporosis/Anemia
Deca-Durabolin 50 Mg,GA0509A,Injection,,,1,"This product is primarily indicated for osteoporosis/anemia utilizing Nandrolone Decanoate, but should not be used in patients with known hypersensitivity.",Nandrolone Decanoate,,Osteoporosis/Anemia
Decdan,WAS5005,Injection,,,1,"This product is primarily indicated for severe allergies/inflammation utilizing Dexamethasone, but should not be used in patients with known hypersensitivity.",Dexamethasone,,Severe allergies/Inflammation
Diclofenac Sodium [Esgipyrin ] 25 Mg,NCL0237,Injection,,,1,"This product is primarily indicated for pain relief utilizing Diclofenac Sodium, but should not be used in patients with known hypersensitivity.",Diclofenac Sodium,,Pain relief
Dynapar 1 Ml,PA25078,Injection,,,1,"This product is primarily indicated for pain relief utilizing Diclofenac Sodium, but should not be used in patients with known hypersensitivity.",Diclofenac Sodium,,Pain relief
Kenadion 10 Mg [Phytomenadione],IPMDBK501,Injection,,,1,"This product is primarily indicated for vitamin k deficiency/bleeding utilizing Phytomenadione (Vitamin K1), but should not be used in patients with known hypersensitivity.",Phytomenadione (Vitamin K1),,Vitamin K deficiency/Bleeding
Lasix,2124274,Injection,,,10,"This product is primarily indicated for edema/hypertension utilizing Furosemide, but should not be used in patients with known hypersensitivity.",Furosemide,,Edema/Hypertension
Monocef 250 Mg,GB17F015,Injection,,,1,"This product is primarily indicated for bacterial infections utilizing Ceftriaxone, but should not be used in patients with known hypersensitivity.",Ceftriaxone,,Bacterial infections
Monocef 500 Mg,BPJ252641,Injection,,,1,"This product is primarily indicated for bacterial infections utilizing Ceftriaxone, but should not be used in patients with known hypersensitivity.",Ceftriaxone,,Bacterial infections
Neurobion Forte Rf,5220E03701,Injection,,,1,"This product is primarily indicated for vitamin b deficiency utilizing Vitamins B1 + B6 + B12, but should not be used in patients with known hypersensitivity.",Vitamins B1 + B6 + B12,,Vitamin B deficiency
Nurokind-Gold,D11Y081,Injection,,,4,"This product is primarily indicated for neuropathy/nutritional deficiency utilizing Mecobalamin + Vitamins + Minerals, but should not be used in patients with known hypersensitivity.",Mecobalamin + Vitamins + Minerals,,Neuropathy/Nutritional deficiency
Optineuron 3 Ml,A25210VP,Injection,,,1,"This product is primarily indicated for vitamin b deficiency utilizing Vitamins B complex, but should not be used in patients with known hypersensitivity.",Vitamins B complex,,Vitamin B deficiency
Pan Iv,26770012,Injection,,,1,"This product is primarily indicated for its specific condition utilizing Pantoprazole, but should not be used in patients with known hypersensitivity.",Pantoprazole,,
Paracetamol Infusion Ip 10 Mg,25441819,Injection,,,1,"This product is primarily indicated for fever/pain utilizing Paracetamol, but should not be used in patients with known hypersensitivity.",Paracetamol,,Fever/Pain
Pipzo 4.5 Gm,25444420,Injection,,,1,"This product is primarily indicated for severe bacterial infections utilizing Piperacillin + Tazobactam, but should not be used in patients with known hypersensitivity.",Piperacillin + Tazobactam,,Severe bacterial infections
Potassium Chloride [Potcid],CX25001,Injection,,,1,"This product is primarily indicated for hypokalemia utilizing Potassium Chloride, but should not be used in patients with known hypersensitivity.",Potassium Chloride,,Hypokalemia
Superspas,NPB00133,Injection,,,1,"This product is primarily indicated for severe abdominal pain utilizing Dicyclomine + Diclofenac, but should not be used in patients with known hypersensitivity.",Dicyclomine + Diclofenac,,Severe abdominal pain
Tramadol 100Mg,FBLE5001,Injection,,,1,"This product is primarily indicated for moderate to severe pain utilizing Tramadol, but should not be used in patients with known hypersensitivity.",Tramadol,,Moderate to severe pain
Trenaxa,TNA2423,Injection,,,1,"This product is primarily indicated for bleeding utilizing Tranexamic Acid, but should not be used in patients with known hypersensitivity.",Tranexamic Acid,,Bleeding
Emset 2Ml,5S60142,Injection,,,20,"This product is primarily indicated for nausea/vomiting utilizing Ondansetron, but should not be used in patients with known hypersensitivity.",Ondansetron,,Nausea/Vomiting
Monocef 1G,BPK25922,Injection,,,1,"This product is primarily indicated for bacterial infections utilizing Ceftriaxone, but should not be used in patients with known hypersensitivity.",Ceftriaxone,,Bacterial infections
Multivitamin Infusion[Mvi],KP25152,Injection,,,1,"This product is primarily indicated for nutritional deficiency utilizing Multivitamins, but should not be used in patients with known hypersensitivity.",Multivitamins,,Nutritional deficiency
Levocetirizine 5 Mg,LEVO-5,Tab,8901000000020,1*10,10,"This product is primarily indicated for allergy (rx) utilizing Levocetirizine (recommended: at night), but should not be used in patients with known hypersensitivity.",Levocetirizine,At night,Allergy (Rx)
Ciplaine[Solution],N0250522,Solution,,,1,"This product is primarily indicated for antiseptic utilizing Povidone Iodine (recommended: topical use), but should not be used in patients with known hypersensitivity.",Povidone Iodine,Topical use,Antiseptic
Losartan 50 Mg,LOS-50,Tab,8901000000012,1*10,10,"This product is primarily indicated for hypertension (rx) utilizing Losartan potassium (recommended: once daily), but should not be used in patients with known hypersensitivity.",Losartan potassium,Once daily,Hypertension (Rx)
Metformin 500 Mg,MET-500,Tab,8901000000009,1*10,10,"This product is primarily indicated for type 2 diabetes (rx) utilizing Metformin HCl (recommended: with meals), but should not be used in patients with known hypersensitivity.",Metformin HCl,With meals,Type 2 diabetes (Rx)
Metronidazole 400 Mg,METRO-400,Tab,8901000000019,1*10,10,"This product is primarily indicated for anaerobic infection (rx) utilizing Metronidazole (recommended: complete course), but should not be used in patients with known hypersensitivity.",Metronidazole,Complete course,Anaerobic infection (Rx)
Monocef- O Drop 25,,Drop,,,1,"This product is primarily indicated for bacterial infections utilizing Cefpodoxime, but should not be used in patients with known hypersensitivity.",Cefpodoxime,,Bacterial infections
Oflomac- M Forte,,Syrup,,,1,"This product is primarily indicated for bacterial/parasitic infections utilizing Ofloxacin + Metronidazole, but should not be used in patients with known hypersensitivity.",Ofloxacin + Metronidazole,,Bacterial/Parasitic infections
Omeprazole 20 Mg,OME-20,Capsule,8901000000003,1*15,15,"This product is primarily indicated for gerd (rx) utilizing Omeprazole (recommended: before breakfast), but should not be used in patients with known hypersensitivity.",Omeprazole,Before breakfast,GERD (Rx)
Ors Sachet,ORS-200,Powder,8901000000004,1*1,1,"This product is primarily indicated for dehydration utilizing Glucose + electrolytes (recommended: dissolve in water), but should not be used in patients with known hypersensitivity.",Glucose + electrolytes,Dissolve in water,Dehydration
Pantoprazole 40 Mg,PAN-40,Tab,8901000000013,1*10,10,"This product is primarily indicated for gerd (rx) utilizing Pantoprazole (recommended: before breakfast), but should not be used in patients with known hypersensitivity.",Pantoprazole,Before breakfast,GERD (Rx)
Paracetamol 500 Mg,PARA-500,Tab,8901000000001,1*10,10,"This product is primarily indicated for fever, pain utilizing Paracetamol 500 mg (recommended: max 4 g/day paracetamol), but should not be used in patients with known hypersensitivity.",Paracetamol 500 mg,Max 4 g/day paracetamol,"Fever, pain"
Povidone Iodine 5% Ointment,BETA-OINT,Ointment,8901000000018,1*20 g,1,"This product is primarily indicated for antiseptic utilizing Povidone iodine (recommended: topical), but should not be used in patients with known hypersensitivity.",Povidone iodine,Topical,Antiseptic
Electral,085C021,Powder,,1*30,1,"This product is primarily indicated for dehydration utilizing ORS (Oral Rehydration Salts) (recommended: dissolve in water), but should not be used in patients with known hypersensitivity.",ORS (Oral Rehydration Salts),Dissolve in water,Dehydration
Enerzal,035G152,Powder,,1*15,1,"This product is primarily indicated for dehydration/energy utilizing Energy drink powder (Electrolytes + Carbs) (recommended: dissolve in water), but should not be used in patients with known hypersensitivity.",Energy drink powder (Electrolytes + Carbs),Dissolve in water,Dehydration/Energy
Ranitidine 150 Mg,RAN-150,Tab,8901000000008,1*20,20,"This product is primarily indicated for acidity utilizing Ranitidine (recommended: before meals), but should not be used in patients with known hypersensitivity.",Ranitidine,Before meals,Acidity
Ribonyl[Azithromycin],RIB-205,Tab,,,5,"This product is primarily indicated for bacterial infections utilizing Azithromycin, but should not be used in patients with known hypersensitivity.",Azithromycin,,Bacterial infections
Cetrizine[Alerid],5A61224,Syrup,,,1,"This product is primarily indicated for allergies utilizing Cetirizine, but should not be used in patients with known hypersensitivity.",Cetirizine,,Allergies
Augmentin Duo,125A071,Syrup,,,1,"This product is primarily indicated for bacterial infections utilizing Amoxicillin + Clavulanic Acid, but should not be used in patients with known hypersensitivity.",Amoxicillin + Clavulanic Acid,,Bacterial infections
Emset 2Mg,,Syrup,,,1,"This product is primarily indicated for nausea/vomiting utilizing Ondansetron, but should not be used in patients with known hypersensitivity.",Ondansetron,,Nausea/Vomiting
Meftal-Spas,FZ2525,Syrup,,,1,"This product is primarily indicated for abdominal pain utilizing Mefenamic Acid + Dicyclomine, but should not be used in patients with known hypersensitivity.",Mefenamic Acid + Dicyclomine,,Abdominal pain
Neeri,NRS-3438[D],Syrup,,,1,"This product is primarily indicated for kidney stones/uti utilizing Ayurvedic proprietary medicine, but should not be used in patients with known hypersensitivity.",Ayurvedic proprietary medicine,,Kidney stones/UTI
Oflomac -M,18251042B,Syrup,,,1,"This product is primarily indicated for diarrhea/infections utilizing Ofloxacin + Metronidazole, but should not be used in patients with known hypersensitivity.",Ofloxacin + Metronidazole,,Diarrhea/Infections
Oflomac -Ms,,Syrup,,,1,"This product is primarily indicated for diarrhea/infections utilizing Ofloxacin + Metronidazole + Simethicone, but should not be used in patients with known hypersensitivity.",Ofloxacin + Metronidazole + Simethicone,,Diarrhea/Infections
Taxim-O,25460201,Syrup,,,1,"This product is primarily indicated for bacterial infections utilizing Cefixime, but should not be used in patients with known hypersensitivity.",Cefixime,,Bacterial infections
Zentil,NA277,Syrup,,,0,"This product is primarily indicated for worm infections utilizing Albendazole, but should not be used in patients with known hypersensitivity.",Albendazole,,Worm infections
Azee 200 Ml,AZB25003,Syrup,,,1,"This product is primarily indicated for bacterial infections utilizing Azithromycin, but should not be used in patients with known hypersensitivity.",Azithromycin,,Bacterial infections
Nutrolin-B Powder 60 Ml,ML25003,Syrup,,,1,"This product is primarily indicated for diarrhea/gut health utilizing Lactic acid bacillus + Vitamins, but should not be used in patients with known hypersensitivity.",Lactic acid bacillus + Vitamins,,Diarrhea/Gut health
Zincolife,D8AIY009,Syrup,,,1,"This product is primarily indicated for zinc deficiency/immunity utilizing Zinc supplement, but should not be used in patients with known hypersensitivity.",Zinc supplement,,Zinc deficiency/Immunity
Ascoril +,11250532,Syrup,,,1,"This product is primarily indicated for cough with mucus utilizing Terbutaline + Bromhexine + Guaifenesin, but should not be used in patients with known hypersensitivity.",Terbutaline + Bromhexine + Guaifenesin,,Cough with mucus
Cefjoy,YSFS25020,Syrup,,,1,"This product is primarily indicated for bacterial infections utilizing Cefpodoxime, but should not be used in patients with known hypersensitivity.",Cefpodoxime,,Bacterial infections
Macbery Junior,,Syrup,,,1,"This product is primarily indicated for cough with mucus utilizing Ambroxol + Levosalbutamol + Guaifenesin, but should not be used in patients with known hypersensitivity.",Ambroxol + Levosalbutamol + Guaifenesin,,Cough with mucus
Respira- Ls,RSP5025,Syrup,,,1,"This product is primarily indicated for cough with mucus utilizing Levosalbutamol + Ambroxol + Guaifenesin, but should not be used in patients with known hypersensitivity.",Levosalbutamol + Ambroxol + Guaifenesin,,Cough with mucus
Sorbiline,S0815019,Syrup,,,1,"This product is primarily indicated for liver disorder/constipation utilizing Tricholine Citrate + Sorbitol, but should not be used in patients with known hypersensitivity.",Tricholine Citrate + Sorbitol,,Liver disorder/Constipation
Sucral -O,SO780525,Syrup,,,1,"This product is primarily indicated for ulcers/acidity utilizing Sucralfate + Oxetacaine, but should not be used in patients with known hypersensitivity.",Sucralfate + Oxetacaine,,Ulcers/Acidity
Taxim-O Forte,,Syrup,,,1,"This product is primarily indicated for bacterial infections utilizing Cefixime, but should not be used in patients with known hypersensitivity.",Cefixime,,Bacterial infections
Allegra,NSA5005,Syrup,,,1,"This product is primarily indicated for allergies utilizing Fexofenadine, but should not be used in patients with known hypersensitivity.",Fexofenadine,,Allergies
Ascoril D Plus,11250933,Syrup,,,1,"This product is primarily indicated for dry cough utilizing Dextromethorphan + Chlorpheniramine + Phenylephrine, but should not be used in patients with known hypersensitivity.",Dextromethorphan + Chlorpheniramine + Phenylephrine,,Dry cough
Bro-Zedex,D250601,Syrup,,,1,"This product is primarily indicated for cough with mucus utilizing Terbutaline + Bromhexine + Guaifenesin, but should not be used in patients with known hypersensitivity.",Terbutaline + Bromhexine + Guaifenesin,,Cough with mucus
Clarinova,A2KPX034,Syrup,,,1,"This product is primarily indicated for bacterial infections utilizing Clarithromycin, but should not be used in patients with known hypersensitivity.",Clarithromycin,,Bacterial infections
Decdan 0.5 Mg,WAL4196,Tab,,,10,"This product is primarily indicated for allergies/inflammation utilizing Dexamethasone, but should not be used in patients with known hypersensitivity.",Dexamethasone,,Allergies/Inflammation
Dolo 650 Mg,D0BS4144,Tab,,1*15,15,"This product is primarily indicated for for pyrexia utilizing Paracetamol 650mg, but should not be used in patients with known hypersensitivity.",Paracetamol 650mg,,For pyrexia
Taxim -O,25461575,Tab,,1*10,10,"This product is primarily indicated for bacterial infections utilizing Cefixime, but should not be used in patients with known hypersensitivity.",Cefixime,,Bacterial infections
Aciloc 150 Mg,LD25251,Tab,,,30,"This product is primarily indicated for acidity/gerd utilizing Ranitidine 150mg (recommended: before meals), but should not be used in patients with known hypersensitivity.",Ranitidine 150mg,Before meals,Acidity/GERD
Alkem Cold,ACT24003MB,Tab,,,9,"This product is primarily indicated for cold and cough utilizing Paracetamol + Phenylephrine + Cetirizine, but should not be used in patients with known hypersensitivity.",Paracetamol + Phenylephrine + Cetirizine,,Cold and cough
Anafortan,PLK0195,Tab,,,15,"This product is primarily indicated for abdominal pain utilizing Camylofin + Paracetamol, but should not be used in patients with known hypersensitivity.",Camylofin + Paracetamol,,Abdominal pain
Atarax 25 Mg,E2501992,Tab,,,15,"This product is primarily indicated for allergies/anxiety utilizing Hydroxyzine, but should not be used in patients with known hypersensitivity.",Hydroxyzine,,Allergies/Anxiety
Atr-Ap 20/75,25CK087,Tab,,,15,"This product is primarily indicated for cholesterol/heart protection utilizing Atorvastatin + Aspirin, but should not be used in patients with known hypersensitivity.",Atorvastatin + Aspirin,,Cholesterol/Heart protection
Avomine 25 Mg,AVA24014,Tab,,,10,"This product is primarily indicated for nausea/motion sickness utilizing Promethazine, but should not be used in patients with known hypersensitivity.",Promethazine,,Nausea/Motion sickness
Azimax 500 Mg (Azithromycin),5SN0160,Tab,,,3,"This product is primarily indicated for bacterial infections utilizing Azithromycin 500mg, but should not be used in patients with known hypersensitivity.",Azithromycin 500mg,,Bacterial infections
Bandy Plus,A8AGY037,Tab,,,1,"This product is primarily indicated for parasitic/worm infections utilizing Ivermectin + Albendazole, but should not be used in patients with known hypersensitivity.",Ivermectin + Albendazole,,Parasitic/Worm infections
Banocid Forte,LOT DB3T,Tab,,,30,"This product is primarily indicated for filariasis/worm infections utilizing Diethylcarbamazine, but should not be used in patients with known hypersensitivity.",Diethylcarbamazine,,Filariasis/Worm infections
Becozyme C -Forte,MH3759,Tab,,,20,"This product is primarily indicated for vitamin deficiency utilizing Vitamin B Complex + Vitamin C, but should not be used in patients with known hypersensitivity.",Vitamin B Complex + Vitamin C,,Vitamin deficiency
Cidaflox-200,CFX-291,Tab,,,10,"This product is primarily indicated for antibiotic utilizing Ciprofloxacin, but should not be used in patients with known hypersensitivity.",Ciprofloxacin,,Antibiotic
Ciplox -500,5SA0215,Tab,,,10,"This product is primarily indicated for bacterial infections utilizing Ciprofloxacin 500mg, but should not be used in patients with known hypersensitivity.",Ciprofloxacin 500mg,,Bacterial infections
Ciplox -Tz,5SD0321,Tab,,,10,"This product is primarily indicated for bacterial/parasitic infections utilizing Ciprofloxacin + Tinidazole, but should not be used in patients with known hypersensitivity.",Ciprofloxacin + Tinidazole,,Bacterial/Parasitic infections
Clarigard 500Mg[Clarithromycin],18242435A,Tab,,,8,"This product is primarily indicated for bacterial infections utilizing Clarithromycin 500mg, but should not be used in patients with known hypersensitivity.",Clarithromycin 500mg,,Bacterial infections
Defla Cortil,HM055012,Tab,,,9,"This product is primarily indicated for allergies/inflammation utilizing Deflazacort, but should not be used in patients with known hypersensitivity.",Deflazacort,,Allergies/Inflammation
Deflazacort,DFF240503,Tab,,,10,"This product is primarily indicated for allergies/inflammation utilizing Deflazacort, but should not be used in patients with known hypersensitivity.",Deflazacort,,Allergies/Inflammation
Deriphyllin 150,IB00398A,Tab,,,30,"This product is primarily indicated for asthma/copd utilizing Etofylline + Theophylline, but should not be used in patients with known hypersensitivity.",Etofylline + Theophylline,,Asthma/COPD
Deriphyllin 300,I404570,Tab,,,30,"This product is primarily indicated for asthma/copd utilizing Etofylline + Theophylline, but should not be used in patients with known hypersensitivity.",Etofylline + Theophylline,,Asthma/COPD
Donispas,UT-260089D,Tab,,,10,"This product is primarily indicated for for andomonal pain utilizing Dicyclomine, but should not be used in patients with known hypersensitivity.",Dicyclomine,,For andomonal pain
Doxovent 400 Mg,18250123,Tab,,,10,"This product is primarily indicated for asthma/copd utilizing Doxofylline 400mg, but should not be used in patients with known hypersensitivity.",Doxofylline 400mg,,Asthma/COPD
Drobid-M,SPT-41255,Tab,,,10,"This product is primarily indicated for abdominal pain utilizing Drotaverine + Mefenamic Acid, but should not be used in patients with known hypersensitivity.",Drotaverine + Mefenamic Acid,,Abdominal pain
Dytor Plus -10,4SB0938,Tab,,,15,"This product is primarily indicated for edema/hypertension utilizing Torasemide + Spironolactone, but should not be used in patients with known hypersensitivity.",Torasemide + Spironolactone,,Edema/Hypertension
Ecosprin-Av 75,28027369,Tab,,,15,"This product is primarily indicated for cholesterol/heart protection utilizing Atorvastatin + Aspirin, but should not be used in patients with known hypersensitivity.",Atorvastatin + Aspirin,,Cholesterol/Heart protection
Flutax-Al,5485001,Tab,,,9,"This product is primarily indicated for migraine prevention utilizing Flunarizine, but should not be used in patients with known hypersensitivity.",Flunarizine,,Migraine prevention
Forcan -150,5SA0801,Tab,,,4,"This product is primarily indicated for fungal infections utilizing Fluconazole 150mg, but should not be used in patients with known hypersensitivity.",Fluconazole 150mg,,Fungal infections
Fruselac,AB02471,Tab,,,10,"This product is primarily indicated for edema/hypertension utilizing Furosemide + Spironolactone, but should not be used in patients with known hypersensitivity.",Furosemide + Spironolactone,,Edema/Hypertension
Glycomet 500 Mg,56002094,Tab,,,10,"This product is primarily indicated for type 2 diabetes utilizing Metformin 500mg (recommended: with meals), but should not be used in patients with known hypersensitivity.",Metformin 500mg,With meals,Type 2 Diabetes
Glycomet-1Gm,60002448,Tab,,,15,"This product is primarily indicated for type 2 diabetes utilizing Metformin 1000mg (recommended: with meals), but should not be used in patients with known hypersensitivity.",Metformin 1000mg,With meals,Type 2 Diabetes
Grenil,GK-778,Tab,,,10,"This product is primarily indicated for migraine/headache with nausea utilizing Domperidone + Paracetamol, but should not be used in patients with known hypersensitivity.",Domperidone + Paracetamol,,Migraine/Headache with nausea
Ibugesic Plus,AFB24A54,Tab,,,19,"This product is primarily indicated for pain/fever utilizing Ibuprofen + Paracetamol (recommended: after meals), but should not be used in patients with known hypersensitivity.",Ibuprofen + Paracetamol,After meals,Pain/Fever
Karvol Plus,24420079,Tab,,,15,"This product is primarily indicated for cold/nasal congestion utilizing Camphor + Chlorothymol + Eucalyptol + Terpineol + Menthol (recommended: inhale vapor), but should not be used in patients with known hypersensitivity.",Camphor + Chlorothymol + Eucalyptol + Terpineol + Menthol,Inhale vapor,Cold/Nasal congestion
L -Cin 750,JB00107,Tab,,,9,"This product is primarily indicated for bacterial infections utilizing Levofloxacin 750mg, but should not be used in patients with known hypersensitivity.",Levofloxacin 750mg,,Bacterial infections
L-Cin 500,JA02956,Tab,,,10,"This product is primarily indicated for bacterial infections utilizing Levofloxacin 500mg, but should not be used in patients with known hypersensitivity.",Levofloxacin 500mg,,Bacterial infections
L-Cin A,UB00695,Tab,,,4,"This product is primarily indicated for respiratory tract infections utilizing Levofloxacin + Ambroxol, but should not be used in patients with known hypersensitivity.",Levofloxacin + Ambroxol,,Respiratory tract infections
Lanoxin 0.25 Mg,EF2518,Tab,,,10,"This product is primarily indicated for heart failure/arrhythmia utilizing Digoxin, but should not be used in patients with known hypersensitivity.",Digoxin,,Heart failure/Arrhythmia
Lariago,C60425035AK,Tab,,,10,"This product is primarily indicated for malaria utilizing Chloroquine, but should not be used in patients with known hypersensitivity.",Chloroquine,,Malaria
